基金代码,基金名称,基金简称,基金类型,最新净值,更新日期,涨跌幅,基金规模
000137,民生加银岁岁增利债券A,2025-05-14,1.1458,1.1457,-0.01,2025-05-15 15:00
000138,民生加银岁岁增利债券C,2025-05-14,1.1122,1.1121,-0.01,2025-05-15 15:00
000139,富国国有企业债债券A/B,2025-05-14,1.0064,1.0063,-0.01,2025-05-15 15:00
000141,富国国有企业债债券C,2025-05-14,1.0051,1.0050,-0.01,2025-05-15 15:00
000142,融通增强收益债券A,2025-05-14,1.1532,1.1530,-0.01,2025-05-15 15:00
000147,易方达高等级信用债债券A,2025-05-14,1.2175,1.2174,-0.01,2025-05-15 15:00
000143,鹏华双债加利债券A,2025-05-14,1.8087,1.8008,-0.43,2025-05-15 15:00
000148,易方达高等级信用债债券C,2025-05-14,1.1972,1.1971,-0.01,2025-05-15 15:00
000149,华安双债添利债券A,2025-05-14,1.3582,1.3575,-0.05,2025-05-15 15:00
000150,华安双债添利债券C,2025-05-14,1.3059,1.3054,-0.04,2025-05-15 15:00
000152,大成景旭纯债债券A,2025-05-14,1.0991,1.0990,-0.01,2025-05-15 15:00
000153,大成景旭纯债债券C,2025-05-14,1.0933,1.0932,-0.01,2025-05-15 15:00
000165,国投瑞银策略精选混合,2025-05-14,1.7092,1.7036,-0.33,2025-05-15 15:00
000166,中海信息产业混合A,2025-05-14,0.9819,0.9581,-2.43,2025-05-15 15:00
000171,易方达裕丰回报债券A,2025-05-14,1.8440,1.8425,-0.08,2025-05-15 15:00
000167,广发聚优灵活配置混合A,2025-05-14,1.9650,1.9515,-0.69,2025-05-15 15:00
000172,华泰柏瑞量化增强混合A,2025-05-14,1.3820,1.3709,-0.81,2025-05-15 15:00
000173,汇添富美丽30混合A,2025-05-14,2.4950,2.4867,-0.33,2025-05-15 15:00
000174,汇添富高息债债券A,2025-05-14,1.7387,1.7374,-0.07,2025-05-15 15:00
000176,嘉实沪深300指数研究增强A,2025-05-14,1.4990,1.4854,-0.91,2025-05-15 15:00
000175,汇添富高息债债券C,2025-05-14,1.6079,1.6063,-0.10,2025-05-15 15:00
000181,景顺长城四季金利债券A,2025-05-14,1.2420,1.2414,-0.05,2025-05-15 15:00
000182,景顺长城四季金利债券C,2025-05-14,1.2210,1.2203,-0.06,2025-05-15 15:00
000183,嘉实丰益策略定期债券,2025-05-09,1.0050,1.0033,-0.17,2025-05-15 15:00
000185,工银添福债券B,2025-05-14,1.9060,1.8975,-0.45,2025-05-15 15:00
000186,华泰柏瑞季季红债券A,2025-05-14,1.0781,1.0780,-0.01,2025-05-15 15:00
000184,工银添福债券A,2025-05-14,1.9540,1.9448,-0.47,2025-05-15 15:00
000187,华泰柏瑞丰盛纯债债券A,2025-05-14,1.1611,1.1610,-0.01,2025-05-15 15:00
000188,华泰柏瑞丰盛纯债债券C,2025-05-14,1.1491,1.1490,-0.01,2025-05-15 15:00
000189,易方达丰华债券A,2025-05-14,1.3224,1.3197,-0.20,2025-05-15 15:00
000190,中银新回报灵活配置混合A,2025-05-14,1.7520,1.7519,0.00,2025-05-15 15:00
000191,富国信用债债券A/B,2025-05-14,1.3211,1.3210,-0.01,2025-05-15 15:00
000195,工银成长收益混合A,2025-05-14,1.5470,1.5335,-0.87,2025-05-15 15:00
000192,富国信用债债券C,2025-05-14,1.2883,1.2882,-0.01,2025-05-15 15:00
000194,银华信用四季红债券A,2025-05-14,1.0867,1.0866,-0.01,2025-05-15 15:00
000196,工银成长收益混合B,2025-05-14,1.4640,1.4512,-0.87,2025-05-15 15:00
000197,富国目标收益一年期纯债债券,2025-05-14,1.1144,1.1143,-0.01,2025-05-15 15:00
